venue_id,name,city,country,venue_type,setting,address,capacity_min,capacity_max,base_price_local,price_per_guest_local,currency,supported_functions,amenities,description,contact_email,website,booked_dates
V024,The Clifford Pier Heritage Hall,Singapore,Singapore,museum,indoor,"80 Collyer Quay, Singapore 049326",50,200,7425.0,176.0,SGD,"ceremony,reception,ceremony_and_reception,engagement_party","Colonial heritage building,Marina Bay views,Waterfront terrace,Butler service,AV equipment",A beautifully restored 1933 colonial pier with waterfront views of Marina Bay,samdevuser@gmail.com,www.fullertonhotels.com/clifford-pier,2026-06-07|2026-07-18
V025,Raffles Hotel Grand Ballroom,Singapore,Singapore,hotel,indoor,"1 Beach Rd, Singapore 189673",100,500,14850.0,284.0,SGD,"ceremony,reception,ceremony_and_reception,rehearsal_dinner","National heritage landmark,White colonial architecture,Singapore Sling bar,Bridal suite,Lush gardens",The legendary Raffles Hotel — a grand colonial landmark steeped in Singapore history,samdevuser@gmail.com,www.raffles.com/singapore,2026-06-20|2026-07-04|2026-09-05
V026,Doltone House Hyde Park,Sydney,Australia,banquet_hall,indoor,"181 Elizabeth St, Sydney NSW 2000",80,400,10710.0,230.0,AUD,"ceremony,reception,ceremony_and_reception,rehearsal_dinner","Hyde Park views,Full AV,Dance floor,Bar service,Catering,Event coordinators",Sophisticated waterfront-style ballroom venue opposite Sydney's iconic Hyde Park,samdevuser@gmail.com,www.doltonehouse.com.au,2026-06-14|2026-07-19|2026-08-23
V027,Sydney Harbour Rocks Terrace,Sydney,Australia,garden,outdoor,"Upper Fort St, Dawes Point NSW 2000",40,180,7650.0,199.0,AUD,"ceremony,reception,ceremony_and_reception,engagement_party","Sydney Harbour Bridge views,Outdoor lawn,Marquee option,Catering,Heritage precinct",Breathtaking outdoor venue with uninterrupted views of Sydney Harbour Bridge and the Opera House,samdevuser@gmail.com,www.rocksevents.com.au,2026-05-31|2026-09-13
V028,The Ivy Ballroom Sydney,Sydney,Australia,hotel,indoor,"330 George St, Sydney NSW 2000",100,600,15300.0,283.0,AUD,"ceremony,reception,ceremony_and_reception,rehearsal_dinner,bridal_shower","Rooftop pool terrace,City skyline views,Award-winning catering,Bridal suite,Valet","Sydney's most glamorous event precinct with rooftop pool, garden terraces, and a grand ballroom",samdevuser@gmail.com,www.merivale.com/theivysydney,2026-06-07|2026-07-12|2026-08-08
V029,Taronga Zoo Twilight Garden,Sydney,Australia,garden,outdoor,"Bradleys Head Rd, Mosman NSW 2088",50,250,9945.0,214.0,AUD,"ceremony,reception,ceremony_and_reception","Harbour Bridge backdrop,Zoo twilight access,Outdoor terrace,Catering,Unique wildlife setting",An utterly unique Sydney wedding — celebrate with Harbour Bridge views and zoo twilight ambiance,samdevuser@gmail.com,www.taronga.org.au/events,2026-06-21|2026-07-25
V030,Shimbashi Enryokan Tokyo Garden,Tokyo,Japan,garden,outdoor,"1-1-1 Shimbashi, Minato City, Tokyo 105-0004",30,100,525000.0,17250.0,JPY,"ceremony,engagement_party,bridal_shower,rehearsal_dinner","Traditional Japanese garden,Zen pond,Stone lanterns,Tea ceremony,Seasonal foliage",Tranquil traditional Japanese garden offering intimate ceremonies with authentic cultural elements,samdevuser@gmail.com,www.enryokan-garden.jp,2026-06-06|2026-08-14
V031,W Hotel London Leicester Square,London,UK,hotel,indoor,"10 Wardour St, London W1D 6QF",60,280,5135.0,122.0,GBP,"reception,ceremony_and_reception,rehearsal_dinner,engagement_party","Rooftop terrace,Contemporary design,Full bar,AV suite,Central London location","Ultra-modern luxury hotel in the heart of the West End — sleek, chic, and unforgettable",samdevuser@gmail.com,www.marriott.com/wlondon,2026-06-13|2026-07-05|2026-08-16
V032,Eiffel Tower Trocadero Garden,Paris,France,garden,outdoor,"Place du Trocadero, 75016 Paris",30,150,6440.0,152.0,EUR,"ceremony,engagement_party,bridal_shower","Eiffel Tower backdrop,Seine views,Outdoor lawn,Photographer paradise,Catering on-site",The most romantic backdrop in the world — exchange vows with the Eiffel Tower in full view,samdevuser@gmail.com,www.paris-events-trocadero.fr,2026-05-24|2026-07-11
V033,Mumbai NCPA Waterfront Terrace,Mumbai,India,garden,outdoor,"NCPA Marg, Nariman Point, Mumbai 400021",40,200,332000.0,7470.0,INR,"ceremony,reception,ceremony_and_reception,engagement_party","Sea-facing terrace,Mumbai skyline,Event staff,Lighting setup,Catering kitchen",The most scenic urban terrace in Mumbai — with the Arabian Sea on three sides,samdevuser@gmail.com,www.ncpamumbai.com/events,2026-06-07|2026-08-09
V034,JW Marriott Seoul Gangnam Ballroom,Seoul,South Korea,hotel,indoor,"176 Sinbanpo-ro, Seocho-gu, Seoul 06605",100,550,10800000.0,216000.0,KRW,"ceremony,reception,ceremony_and_reception,rehearsal_dinner","Han River views,Luxury catering,Bridal dressing room,AV system,Valet parking",A contemporary luxury ballroom in the heart of Seoul's upscale Gangnam district,samdevuser@gmail.com,www.marriott.com/jwseoul,2026-06-14|2026-07-20|2026-09-06
V035,Sentosa Beach Cove Singapore,Singapore,Singapore,beach,outdoor,"Palawan Beach, Sentosa Island 098498",40,200,6075.0,155.0,SGD,"ceremony,reception,ceremony_and_reception","Private beach,Beachside pavilion,Sunset views,Sound system,Outdoor catering",Exclusive private beach ceremony on Sentosa Island with the South China Sea as your backdrop,samdevuser@gmail.com,www.sentosa.com.sg/beachweddings,2026-05-30|2026-07-26
V036,Sydney Opera House Utzon Room,Sydney,Australia,museum,indoor,"Bennelong Point, Sydney NSW 2000",30,120,13005.0,268.0,AUD,"ceremony,reception,rehearsal_dinner,engagement_party,bridal_shower","Opera House interiors,Harbour views,Exclusive after-hours access,Fine dining catering,Iconic landmark",A once-in-a-lifetime experience — celebrate in the world-renowned Sydney Opera House,samdevuser@gmail.com,www.sydneyoperahouse.com/weddings,2026-06-13|2026-07-05
V037,Odaiba Waterfront Pavilion Tokyo,Tokyo,Japan,banquet_hall,indoor,"1-6-1 Daiba, Minato City, Tokyo 135-0091",60,300,750000.0,18750.0,JPY,"reception,ceremony_and_reception,rehearsal_dinner,engagement_party","Rainbow Bridge views,Tokyo skyline,Full AV,Dance floor,Waterfront terrace",Modern waterfront venue with stunning views of the Rainbow Bridge and Tokyo Bay at night,samdevuser@gmail.com,www.odaibapaviliontokyo.jp,2026-06-20|2026-08-10
V038,Bryant Park Grill New York,New York City,USA,garden,outdoor,"25 W 40th St, New York, NY 10018",50,250,5800.0,138.0,USD,"ceremony,reception,ceremony_and_reception,engagement_party","Midtown skyline views,Central garden,Heated terrace,Full bar,Event coordinators","A secret garden in the heart of Manhattan — lush, intimate and impossibly photogenic",samdevuser@gmail.com,www.bryantparkgrill.com,2026-06-07|2026-07-12|2026-08-22
V039,Intercontinental Paris Le Grand Ballroom,Paris,France,hotel,indoor,"2 Rue Scribe, 75009 Paris",100,700,11960.0,212.0,EUR,"ceremony,reception,ceremony_and_reception,rehearsal_dinner","Opera Garnier views,Napoleon III ballroom,Michelin-star dining,Bridal suite,Valet",Opulent 19th-century grandeur overlooking the Palais Garnier — Paris at its most majestic,samdevuser@gmail.com,www.paris.intercontinental.com,2026-06-14|2026-07-19|2026-08-29
V040,Darling Harbour Event Centre Sydney,Sydney,Australia,banquet_hall,indoor,"Darling Dr, Sydney NSW 2000",150,1500,12240.0,161.0,AUD,"reception,ceremony_and_reception,rehearsal_dinner","Harbour views,Multiple halls,Full AV,In-house catering,Valet parking,Exhibition space",Sydney's largest dedicated events venue — perfect for grand-scale wedding celebrations,samdevuser@gmail.com,www.iccsydney.com.au,2026-06-21|2026-07-05|2026-09-12
