decorator_id,name,city,country,specializes_in,suitable_for,themes,flower_specialties,color_schemes,min_budget_local,max_budget_local,price_per_guest_local,currency,services_included,description,contact_email,website
D011,Versailles Grand Decor Paris,Paris,France,indoor,indoor,"opulent,baroque,royal french,grand","white roses,gardenias,orchids,magnolias","gold and ivory,royal blue and gold,burgundy and gold,all white with gold accents",9200.0,73600.0,110.0,EUR,"Grand chandelier installation,Baroque floral columns,Gold candelabras,Luxury fabric draping,Thrones and ornate chairs,Royal carpet",The most opulent wedding design house in Paris — inspired by Versailles itself,samdevuser@gmail.com,www.versaillesgranddecor.fr
D012,Montmartre Boheme Paris,Paris,France,outdoor,outdoor,"bohemian parisienne,artist quarter,vintage romantic,whimsical","wildflowers,anemones,cornflowers,dahlias,dried herbs","burgundy and rust,muted pastels,faded blue and cream,dusty rose and mauve",1840.0,12880.0,26.0,EUR,"Vintage prop hire,Whimsical floral arches,Fairy light canopies,Mismatched tableware,Hand-lettered signs,Rustic wooden tables","Inspired by the artists of Montmartre — whimsical, romantic and entirely one-of-a-kind outdoor styling",samdevuser@gmail.com,www.montmartreboheme.fr
D013,Taj Decor Mumbai,Mumbai,India,"indoor,outdoor","indoor,outdoor","indian royal,mughal,traditional,contemporary indian","marigolds,jasmine,roses,lotus,tuberose","saffron and gold,red and gold,pink and fuchsia,white and emerald green",124500.0,1660000.0,2490.0,INR,"Mandap design,Floral jewelry,Phoolon ki chadar,Gate decoration,Table centrepieces,LED mandap",India's finest wedding decorators blending Mughal grandeur with contemporary flair — mandaps and marigolds done magnificently,samdevuser@gmail.com,www.tajdecormumbai.in
D014,Mumbai Glam Events,Mumbai,India,indoor,indoor,"bollywood,modern indian,glamour,fusion","orchids,roses,carnations","hot pink and gold,royal blue and silver,purple and gold,all white with crystal",207500.0,1826000.0,2905.0,INR,"LED stage design,Projection mapping,Floral walls,Crystal bead curtains,Luxury seating,Custom neon signs",Mumbai's most glamorous indoor wedding stylists — think Bollywood with elegance,samdevuser@gmail.com,www.mumbaiglam.in
D015,Beach Mandap Mumbai,Mumbai,India,outdoor,outdoor,"beach wedding,coastal indian,tropical,boho indian","marigolds,tropical flowers,hibiscus,frangipani","white and turquoise,coral and gold,yellow and orange,natural coconut tones",83000.0,830000.0,1660.0,INR,"Beach mandap setup,Floral pathway,Shell and driftwood decor,Tiki torches,Floating candles,Moonlit lighting",Specialists in stunning beachside mandap setups along Mumbai's coastline — magical and memorable,samdevuser@gmail.com,www.beachmandapmumbai.in
D016,Seoul Bloom Studio,Seoul,South Korea,"indoor,outdoor","indoor,outdoor","korean romantic,minimal chic,garden,modern korean","freesias,roses,gypsophila,ranunculus","soft pink and white,peach and champagne,lavender and grey,monochrome white",3375000.0,27000000.0,51300.0,KRW,"Full floral design,Ceremony backdrop,Balloon installations,Neon signage,Table styling,Bridal bouquets",Seoul's most celebrated wedding design studio — blending Korean elegance with contemporary floral artistry,samdevuser@gmail.com,www.seoulbloomstudio.kr
D017,Gangnam Luxe Events Seoul,Seoul,South Korea,indoor,indoor,"ultra modern,k-style luxury,sleek,high design","white orchids,anthuriums,calla lilies","white and silver,black and gold,rose gold and blush,ice blue and white",6750000.0,60750000.0,108000.0,KRW,"LED wall installations,Luxury white draping,Floating floral ceilings,Designer chair hire,Mirror floors,Bespoke lighting",Gangnam's most exclusive luxury event design house — the pinnacle of Korean modern wedding aesthetics,samdevuser@gmail.com,www.gangnamluxe.kr
D018,Hanok Garden Styling Seoul,Seoul,South Korea,outdoor,outdoor,"traditional korean,hanok,nature,cultural","Korean plum blossom,chrysanthemum,lotus","red and blue (taeguk),ivory and earth tones,celadon green and white,autumn orange and brown",2025000.0,16200000.0,29700.0,KRW,"Traditional hanbok ceremony staging,Hanji lanterns,Natural flower arrangements,Stone pathway styling,Tea ceremony setup,Cultural prop hire","Authentic traditional Korean wedding styling in hanok settings — cultural, meaningful and breathtaking",samdevuser@gmail.com,www.hanokgardenstyling.kr
D019,Gardens of Eden Singapore,Singapore,Singapore,"indoor,outdoor","indoor,outdoor","tropical garden,lush botanical,resort,jungle luxe","bird of paradise,heliconias,orchids,frangipani,tropicals","white and tropical green,fuchsia and gold,orange and ivory,purple and tropical green",4050.0,33750.0,65.0,SGD,"Tropical floral arches,Orchid installations,Verdant table runners,Hanging terrariums,Garden lighting,Lush backdrop walls",Singapore's premier botanical wedding stylists — transforming any venue into a lush tropical paradise,samdevuser@gmail.com,www.gardensofeden.sg
D020,Marina Bay Luxe Singapore,Singapore,Singapore,indoor,indoor,"modern luxury,skyline chic,corporate glamour,sleek","white roses,calla lilies,orchids","white and gold,midnight blue and silver,emerald and gold,all white",8100.0,67500.0,115.0,SGD,"Skyline backdrop styling,Luxury floral walls,Suspended installations,LED architecture lighting,Designer table settings,Monogram projections",Ultra-modern luxury wedding design against Singapore's stunning Marina Bay skyline,samdevuser@gmail.com,www.marinabayluxe.sg
D021,Sentosa Beach Decor Singapore,Singapore,Singapore,outdoor,outdoor,"tropical beach,coastal resort,island paradise","frangipani,hibiscus,bird of paradise,tropicals","white and turquoise,coral and gold,sunset orange and pink,natural sand tones",2700.0,21600.0,43.0,SGD,"Beach ceremony arch,Driftwood installations,Tropical florals,Tiki torches,Floating lanterns,Coconut shell centrepieces",Magical outdoor beach wedding styling on Sentosa Island — barefoot luxury at its finest,samdevuser@gmail.com,www.sentosabeachdecor.sg
D022,Sydney Harbour Blooms,Sydney,Australia,"indoor,outdoor","indoor,outdoor","coastal australian,natural luxe,garden,contemporary","native flowers,waratahs,banksias,proteas,eucalyptus","white and native green,peach and terracotta,warm neutrals,blue and white coastal",4590.0,33660.0,64.0,AUD,"Native floral installations,Ceremony arch,Table centrepieces,Greenery walls,Outdoor lighting,Bridal styling",Sydney's most celebrated wedding florists — showcasing Australia's stunning native blooms in spectacular arrangements,samdevuser@gmail.com,www.sydneyharblooms.com.au
D023,The Ivy Styling Sydney,Sydney,Australia,indoor,indoor,"glamour,art deco,rooftop luxe,contemporary","white roses,orchids,peonies","gold and white,black and blush,champagne and ivory,jewel tones",7650.0,61200.0,110.0,AUD,"Rooftop floral design,Ceiling installations,Luxury table design,Candelabras,Draping,Photo wall",Sophisticated indoor styling specialists for Sydney's most glamorous venues — opulent and unforgettable,samdevuser@gmail.com,www.theivystylingsydney.com.au
D024,Bush & Bloom Sydney,Sydney,Australia,outdoor,outdoor,"australian bush,native garden,relaxed luxe,earthy","banksias,flannel flowers,bottlebrush,grevilleas,wattles","earthy greens and whites,rust and terracotta,dusty peach and sage,golden yellow and green",2754.0,21420.0,43.0,AUD,"Native botanical arches,Bush timber installations,Organic table styling,Wildflower centrepieces,Fire pit area decor,Fairy lights",Beautifully organic outdoor wedding styling using Australia's native bush flowers and natural materials,samdevuser@gmail.com,www.bushandbloom.com.au
D025,Covent Garden Florals London,London,UK,indoor,indoor,"romantic english,cottage core,shakespeare,whimsical","sweet william,foxglove,sweet peas,roses,campanula","soft peach and cream,sage and blush,dusty blue and white,lilac and ivory",1975.0,14220.0,30.0,GBP,"Hand-tied arrangements,Ceremony arch,Table garlands,Buttonholes and corsages,Foliage walls,Candle styling",Charming English cottage-style indoor florals from London's historic Covent Garden flower market district,samdevuser@gmail.com,www.coventgardenflorals.co.uk
D026,Tokyo Origami Weddings Tokyo,Tokyo,Japan,indoor,indoor,"origami art,pop art japanese,creative,unique","paper flowers,orchids,cherry blossom","red and white,pastel rainbow,origami multicolour,gold and white",300000.0,2250000.0,4800.0,JPY,"Origami installations,Paper flower walls,Themed table decor,Custom paper centrepieces,Colour-matched styling,Unique photo walls",Uniquely creative origami-themed wedding styling — a one-of-a-kind aesthetic for the adventurous couple,samdevuser@gmail.com,www.tokyoorigamiweddings.jp
D027,Hudson Valley Rustic NYC,New York City,USA,outdoor,outdoor,"rustic farmhouse,americana,vintage,harvest","sunflowers,zinnias,wheat,cotton,dahlias","sunflower yellow and cream,rust and burgundy,sage and ivory,barn red and white",1500.0,12000.0,22.0,USD,"Barn wood installations,Mason jar centrepieces,Hay bale seating,Sunflower arches,Lanterns,Vintage tableware",Classic American rustic farmhouse wedding styling for outdoor NYC-area events,samdevuser@gmail.com,www.hudsonvalleyrustic.com
D028,Eiffel Luxe Events Paris,Paris,France,outdoor,outdoor,"garden chic,french riviera,alfresco,chateau","lavender,roses,mimosa,jasmine","provencal lavender and yellow,white and navy,blush and sand,terracotta and olive",2760.0,20240.0,39.0,EUR,"Provencal table design,Lavender arch,Outdoor canopy,French bistro chair hire,Linen tablecloths,Garden lanterns","Elegant alfresco wedding styling with a French Riviera touch — sunshine, lavender and timeless Gallic chic",samdevuser@gmail.com,www.eiffelluxeevents.fr
D029,MumbaiFlora Weddings Mumbai,Mumbai,India,"indoor,outdoor","indoor,outdoor","south indian,christian,multicultural,fusion","jasmine,roses,marigolds,tuberose,carnations","white and gold,pink and white,green and gold,yellow and white",83000.0,996000.0,1494.0,INR,"South Indian-style mandap,Jasmine garlands,Flower curtains,Mehendi decor,Cross and floral altar,Traditional lamp arrangements","Mumbai's versatile multicultural wedding decorators — expert in South Indian, Christian and fusion ceremony styling",samdevuser@gmail.com,www.mumbaifloraweddings.in
D030,Busan Coastal Decor Seoul,Seoul,South Korea,outdoor,outdoor,"coastal korean,maritime,island,fresh","sea lavender,baby's breath,blue hydrangeas,coastal flowers","ocean blue and white,navy and coral,seafoam and ivory,sunrise orange and yellow",2025000.0,13500000.0,27000.0,KRW,"Coastal arch,Driftwood styling,Maritime rope decor,Seashell accents,Outdoor candles,Seaside lanterns","Inspired by Korea's stunning coastline — fresh, breezy maritime wedding styling for outdoor celebrations",samdevuser@gmail.com,www.busancoastaldecor.kr
D031,Jewel of Singapore Decor Singapore,Singapore,Singapore,indoor,indoor,"peranakan,heritage chinese,multicultural,fusion asian","orchids,peonies,bougainvillea","red and gold,jade green and gold,purple and gold,pink and ivory",3375.0,27000.0,54.0,SGD,"Peranakan tile-inspired decor,Traditional Chinese gate,Heritage prop hire,Floral arches,Lantern displays,Multicultural ceremony staging",Celebrating Singapore's rich multicultural heritage with stunning Peranakan and Chinese wedding styling,samdevuser@gmail.com,www.jewelofsingapore.sg
D032,Alpine Elegance London,London,UK,outdoor,outdoor,"woodland,enchanted forest,fairy tale,ethereal","ferns,moss,white flowers,berries,ivy","forest green and white,silver and ivory,deep purple and green,midnight blue and silver",1975.0,13430.0,26.0,GBP,"Enchanted forest arch,Hanging glass terrariums,Fairy light canopy,Log slice table decor,Moss table runners,Woodland lanterns",Magical outdoor woodland wedding styling — create your own enchanted forest in London's parks and gardens,samdevuser@gmail.com,www.alpineelegantelondon.co.uk
D033,Nihon Tradition Tokyo,Tokyo,Japan,outdoor,outdoor,"traditional shinto,samurai,japanese cultural,historical","sacred sakaki,pine,chrysanthemum,plum blossom","white and red (traditional),imperial gold and white,forest green and white,autumn maple colours",300000.0,2400000.0,4500.0,JPY,"Shinto ceremony staging,Torii gate installation,Traditional rope decoration,Cultural prop hire,Lantern procession,Sake ceremony setup",Specialists in authentic traditional Japanese outdoor ceremony staging — Shinto rituals done with reverence and beauty,samdevuser@gmail.com,www.nihontradition.jp
D034,Rooftop Dreams NYC,New York City,USA,outdoor,outdoor,"urban rooftop,skyline romance,contemporary,city chic","succulents,tropical greens,white flowers","white and city grey,neon accents on black,concrete and blush,industrial steel and florals",3000.0,20000.0,38.0,USD,"Rooftop styling,City skyline backdrop,Industrial chic installations,Succulent centrepieces,String lights,Bar cart styling",NYC rooftop wedding specialists — celebrating love against the greatest skyline in the world,samdevuser@gmail.com,www.rooftopdreamsnyc.com
D035,Provence Petals Paris,Paris,France,"indoor,outdoor","indoor,outdoor","provencal,french farmhouse,rustic chic,countryside","lavender,sunflowers,dried wheat,poppy","provence purple and yellow,sunflower gold and green,faded rose and linen,natural straw and white",1380.0,12880.0,23.0,EUR,"Lavender bundle arrangements,Sunflower centrepieces,Wicker and linen table styling,Dried flower arches,Farmhouse wooden tables,Rustic signage","Rustic Provencal charm transported to Paris — sunflowers, lavender and the warmth of the French countryside",samdevuser@gmail.com,www.provencepetals.fr
D036,Desi Florals by Kiran Mumbai,Mumbai,India,"indoor,outdoor","indoor,outdoor","north indian,sikh,rajasthani,punjabi","marigolds,roses,jasmine,carnations,genda phool","hot pink and yellow,red and gold,turquoise and orange,royal blue and gold",66400.0,1245000.0,1826.0,INR,"Kalire and phoolon ki sehra,Baarat decorations,Mehndi setup,Gurdwara-style floral arch,Turban flower styling,Wedding car decoration","Mumbai's go-to decorators for vibrant North Indian, Sikh and Rajasthani weddings — colour, joy and tradition",samdevuser@gmail.com,www.desifloralsbykiran.in
